# Ranked static MoE experts: layer expert miss_count access_count bytes
# budget_mib=8192 selected=4491 phase=prefill selected_mib=8190.41 trace_avoidable_mib=23241270.70
39 110 7403 8765 2039808
39 38 6856 10116 2039808
37 65 6836 8924 1900544
39 2 6810 8266 2039808
37 182 6666 11177 1900544
37 104 6663 9536 1900544
38 88 6468 7551 2039808
39 154 6406 10926 2039808
33 126 6202 7126 1900544
39 69 6172 9735 2039808
22 198 6151 9842 1900544
26 20 6111 7554 1900544
21 164 6075 7746 1900544
26 148 6070 7073 1900544
31 154 6053 8481 1900544
39 10 5981 6950 2039808
17 250 5979 7114 1900544
24 74 5971 7921 1900544
9 164 5964 8026 1900544
35 57 5952 10467 1900544
32 98 5891 6455 1900544
35 191 5887 8470 1900544
38 27 5856 7327 2039808
39 243 5856 6989 2039808
33 95 5852 8959 1900544
28 74 5835 9925 1900544
29 0 5714 10046 1900544
33 189 5711 8129 1900544
38 71 5705 8657 2039808
38 87 5702 7122 2039808
32 181 5701 7551 1900544
13 147 5670 7424 1900544
6 68 5639 8118 1900544
31 116 5636 9501 1900544
18 0 5631 6854 1900544
30 163 5615 10482 1900544
33 93 5587 9441 1900544
34 96 5569 7422 2039808
33 75 5559 8014 1900544
38 43 5559 6394 2039808
35 72 5554 10165 1900544
37 39 5548 9764 1900544
35 42 5540 10836 1900544
38 148 5539 9071 2039808
36 70 5537 9991 1900544
35 174 5534 11218 1900544
35 203 5529 7549 1900544
29 150 5526 10428 1900544
32 33 5511 7354 1900544
38 151 5454 10116 2039808
32 119 5450 8991 1900544
38 132 5445 6352 2039808
33 92 5436 9281 1900544
29 76 5430 6280 1900544
36 20 5420 10835 1900544
22 113 5395 6164 1900544
38 136 5372 7151 2039808
23 86 5350 8700 1900544
39 235 5349 8709 2039808
33 129 5337 7417 1900544
12 74 5329 8611 1900544
37 233 5313 8671 1900544
34 82 5303 7078 2039808
36 120 5299 9383 1900544
39 248 5296 6436 2039808
33 5 5292 7012 1900544
39 78 5277 6796 2039808
5 193 5274 6783 1900544
32 112 5272 10435 1900544
17 0 5271 8789 1900544
16 74 5271 7986 1900544
18 179 5255 6291 1900544
34 26 5254 10658 2039808
35 224 5234 7568 1900544
34 16 5231 6829 2039808
30 179 5230 6752 1900544
16 43 5220 8419 1900544
39 189 5220 6431 2039808
39 162 5209 7439 2039808
34 84 5200 5587 2039808
36 125 5190 6669 1900544
22 169 5186 6129 1900544
33 161 5179 6077 1900544
35 136 5170 5895 1900544
36 181 5154 7017 1900544
9 29 5152 7416 1900544
18 163 5143 10489 1900544
36 75 5129 8833 1900544
19 116 5122 8788 1900544
29 250 5119 6226 1900544
29 87 5110 9760 1900544
36 255 5110 7283 1900544
33 43 5100 9065 1900544
2 219 5077 10104 1900544
34 49 5039 6994 2039808
22 125 5026 10031 1900544
34 217 5019 7042 2039808
27 23 5016 5604 1900544
11 86 5009 7122 1900544
23 189 5007 5895 1900544
37 165 4991 9392 1900544
27 200 4989 5402 1900544
14 148 4988 6529 1900544
36 110 4986 9085 1900544
34 252 4985 7290 2039808
33 201 4967 6360 1900544
39 22 4966 6804 2039808
36 83 4957 9687 1900544
33 192 4957 7203 1900544
29 26 4955 7383 1900544
37 72 4953 10439 1900544
38 61 4949 5711 2039808
36 48 4941 5730 1900544
31 237 4940 6519 1900544
32 252 4935 7684 1900544
38 143 4932 8427 2039808
25 103 4932 6260 1900544
11 42 4931 10480 1900544
6 60 4925 7070 1900544
21 29 4921 5869 1900544
23 161 4917 5149 1900544
31 20 4914 11032 1900544
38 124 4905 5672 2039808
37 196 4904 6678 1900544
37 31 4901 6306 1900544
39 12 4901 5382 2039808
10 169 4900 7613 1900544
33 179 4897 6306 1900544
2 109 4890 6983 1900544
24 93 4886 8821 1900544
12 93 4878 9306 1900544
38 103 4878 6776 2039808
13 134 4869 9219 1900544
11 27 4862 6381 1900544
11 189 4854 7168 1900544
27 185 4852 7889 1900544
38 64 4841 6879 2039808
35 44 4835 6159 1900544
34 85 4831 9302 2039808
28 43 4830 7641 1900544
9 239 4824 7208 1900544
38 185 4818 5334 2039808
30 0 4816 5409 1900544
36 192 4814 8001 1900544
34 182 4811 5768 2039808
28 133 4810 5202 1900544
33 133 4807 6230 1900544
38 120 4805 9332 2039808
34 15 4805 5035 2039808
20 175 4801 8710 1900544
34 195 4794 5609 2039808
2 255 4788 5787 1900544
25 147 4788 5763 1900544
39 37 4784 5073 2039808
39 85 4768 7900 2039808
3 133 4766 5700 1900544
4 236 4766 5594 1900544
10 198 4759 9898 1900544
33 37 4746 7125 1900544
32 85 4732 6988 1900544
11 206 4731 9983 1900544
23 27 4727 5419 1900544
21 2 4725 9312 1900544
39 107 4722 5253 2039808
39 165 4718 5236 2039808
34 81 4716 5456 2039808
0 7 4711 5901 1900544
22 160 4710 11743 1900544
39 222 4709 7268 2039808
27 191 4708 5934 1900544
39 127 4705 5271 2039808
33 56 4703 6466 1900544
39 44 4700 5988 2039808
38 254 4693 6876 2039808
34 11 4693 6243 2039808
37 190 4690 8835 1900544
27 87 4683 8946 1900544
39 224 4674 5823 2039808
32 2 4665 6903 1900544
30 174 4664 7589 1900544
37 169 4663 5739 1900544
34 212 4658 7449 2039808
25 20 4656 6345 1900544
15 81 4645 5281 1900544
33 198 4643 5113 1900544
32 92 4637 6808 1900544
10 243 4634 9596 1900544
32 162 4626 5362 1900544
23 188 4622 5765 1900544
35 132 4621 5382 1900544
34 255 4617 7522 2039808
32 195 4600 7015 1900544
38 0 4600 5404 2039808
31 99 4595 5792 1900544
35 210 4594 5063 1900544
23 19 4592 6662 1900544
39 75 4582 6021 2039808
16 5 4581 5551 1900544
38 92 4576 7002 2039808
0 115 4574 9870 1900544
31 219 4571 5264 1900544
39 246 4560 6804 2039808
33 234 4555 5434 1900544
26 103 4545 9512 1900544
14 191 4544 5632 1900544
36 234 4541 7414 1900544
11 19 4539 7151 1900544
2 93 4539 5347 1900544
37 244 4537 5338 1900544
33 103 4536 5525 1900544
24 63 4535 6051 1900544
28 210 4534 6362 1900544
36 126 4531 5296 1900544
4 102 4519 7731 1900544
21 191 4518 8227 1900544
7 195 4506 5789 1900544
30 55 4505 6201 1900544
6 153 4504 7699 1900544
17 76 4504 5115 1900544
31 109 4501 6570 1900544
4 95 4501 5353 1900544
34 5 4499 5542 2039808
1 244 4498 5225 1900544
0 229 4496 6677 1900544
38 146 4484 7956 2039808
33 210 4484 6248 1900544
37 164 4482 6101 1900544
9 2 4481 8668 1900544
34 207 4475 5473 2039808
33 183 4472 5479 1900544
39 251 4471 5396 2039808
0 105 4464 6477 1900544
32 90 4462 8688 1900544
4 13 4461 5980 1900544
9 191 4459 8164 1900544
35 180 4459 5307 1900544
32 89 4458 6055 1900544
33 132 4452 5877 1900544
39 96 4449 5770 2039808
33 97 4448 7483 1900544
38 195 4446 5707 2039808
3 187 4440 5182 1900544
38 35 4438 5096 2039808
25 61 4426 5987 1900544
34 132 4425 8499 2039808
36 222 4425 6333 1900544
32 53 4421 6453 1900544
5 159 4421 5940 1900544
15 200 4421 5078 1900544
4 222 4420 7708 1900544
39 98 4420 5639 2039808
4 128 4420 5013 1900544
23 85 4418 5918 1900544
17 26 4414 6588 1900544
33 18 4410 5722 1900544
38 249 4406 8018 2039808
33 102 4391 6150 1900544
10 185 4389 10333 1900544
39 129 4388 6081 2039808
37 162 4386 5756 1900544
32 42 4386 4892 1900544
33 83 4384 7604 1900544
23 136 4380 5645 1900544
25 164 4377 6438 1900544
30 99 4374 8244 1900544
0 196 4370 6033 1900544
1 225 4369 5159 1900544
35 77 4368 4956 1900544
24 44 4367 5310 1900544
2 210 4364 6584 1900544
7 64 4363 6223 1900544
30 108 4363 4877 1900544
34 249 4361 6112 2039808
28 229 4359 8513 1900544
36 37 4359 4850 1900544
39 117 4358 4752 2039808
36 253 4357 6779 1900544
28 88 4357 4999 1900544
30 6 4356 6283 1900544
34 227 4353 5895 2039808
23 36 4351 5813 1900544
32 160 4347 5960 1900544
39 1 4345 6879 2039808
35 114 4345 5632 1900544
31 163 4343 5041 1900544
1 97 4342 7724 1900544
36 93 4341 4955 1900544
21 116 4340 5814 1900544
37 145 4339 5840 1900544
18 128 4338 6105 1900544
1 231 4337 6308 1900544
16 229 4335 8863 1900544
9 156 4332 6107 1900544
2 60 4331 9310 1900544
39 77 4330 5765 2039808
32 146 4324 7655 1900544
6 254 4318 7093 1900544
38 236 4318 5011 2039808
38 8 4317 6107 2039808
18 134 4316 6176 1900544
35 22 4314 6552 1900544
21 239 4310 6168 1900544
37 58 4309 6558 1900544
18 57 4308 7284 1900544
12 63 4307 6143 1900544
39 186 4305 5675 2039808
11 161 4304 4671 1900544
25 134 4300 8595 1900544
14 147 4297 5229 1900544
33 214 4296 6399 1900544
15 87 4295 8478 1900544
33 23 4295 6359 1900544
32 120 4290 5498 1900544
34 88 4288 4721 2039808
30 239 4286 5906 1900544
32 17 4285 6638 1900544
35 43 4283 7093 1900544
20 239 4281 7330 1900544
30 130 4279 4683 1900544
27 248 4277 5843 1900544
6 183 4272 5591 1900544
37 56 4272 5299 1900544
37 126 4270 6639 1900544
2 4 4270 5531 1900544
30 159 4268 4610 1900544
0 235 4265 7635 1900544
33 84 4265 5151 1900544
23 206 4263 9356 1900544
35 106 4256 4959 1900544
37 175 4247 8100 1900544
39 16 4244 8463 2039808
31 204 4243 4993 1900544
30 141 4243 4490 1900544
1 86 4239 7202 1900544
36 21 4239 5142 1900544
32 209 4237 5144 1900544
34 72 4234 8074 2039808
32 134 4234 6696 1900544
38 182 4231 4712 2039808
2 10 4228 5417 1900544
26 59 4227 5344 1900544
38 22 4226 6818 2039808
30 128 4224 5097 1900544
34 63 4220 8580 2039808
34 94 4219 6279 2039808
37 61 4217 5354 1900544
1 19 4215 8664 1900544
36 138 4214 4869 1900544
39 231 4212 7183 2039808
33 190 4212 5087 1900544
30 71 4208 5386 1900544
33 86 4204 6086 1900544
34 12 4204 5115 2039808
4 142 4200 9410 1900544
37 158 4199 5316 1900544
23 92 4199 4851 1900544
38 177 4198 4888 2039808
2 17 4197 5287 1900544
19 167 4195 7172 1900544
34 166 4192 6278 2039808
13 33 4186 5679 1900544
36 73 4181 10148 1900544
0 216 4180 6847 1900544
39 163 4179 4810 2039808
9 217 4178 5401 1900544
20 234 4178 5176 1900544
7 117 4172 8138 1900544
38 149 4172 4770 2039808
27 255 4169 5436 1900544
19 20 4168 10780 1900544
34 91 4166 5870 2039808
22 36 4161 6326 1900544
33 220 4159 5284 1900544
15 191 4157 5650 1900544
38 169 4152 5452 2039808
27 65 4151 4463 1900544
15 116 4149 5060 1900544
3 152 4149 4566 1900544
37 214 4148 5236 1900544
28 10 4146 4595 1900544
1 214 4145 5868 1900544
31 26 4144 7044 1900544
32 109 4131 5901 1900544
26 57 4130 4365 1900544
39 217 4127 5344 2039808
33 206 4123 5359 1900544
30 13 4121 5870 1900544
16 156 4109 4770 1900544
4 20 4108 5793 1900544
36 228 4108 4976 1900544
35 185 4103 6752 1900544
21 178 4103 5303 1900544
33 11 4101 6900 1900544
39 241 4101 6374 2039808
2 100 4094 4322 1900544
25 43 4092 5594 1900544
33 181 4090 6730 1900544
33 244 4090 4951 1900544
34 208 4089 5230 2039808
29 126 4089 4711 1900544
32 123 4084 8634 1900544
21 132 4080 5612 1900544
38 18 4079 5587 2039808
2 187 4078 5588 1900544
31 51 4075 4968 1900544
5 104 4074 6065 1900544
3 116 4065 5585 1900544
2 145 4065 4672 1900544
2 5 4064 5695 1900544
32 144 4063 5517 1900544
39 99 4061 5046 2039808
37 8 4056 4910 1900544
20 33 4056 4647 1900544
33 182 4055 4489 1900544
39 228 4050 5956 2039808
33 105 4046 4482 1900544
11 12 4044 6178 1900544
10 176 4040 5372 1900544
24 26 4040 5182 1900544
11 39 4039 5752 1900544
1 27 4038 6238 1900544
35 8 4035 4429 1900544
9 116 4033 5981 1900544
4 244 4030 5044 1900544
31 205 4028 4929 1900544
23 108 4026 10875 1900544
33 59 4026 5039 1900544
16 88 4025 5862 1900544
32 60 4024 4915 1900544
33 156 4022 7694 1900544
31 36 4022 7068 1900544
2 59 4020 4843 1900544
36 207 4020 4492 1900544
34 18 4017 4976 2039808
17 5 4016 6314 1900544
9 178 4015 5482 1900544
0 141 4012 6034 1900544
19 237 4012 5425 1900544
22 23 4012 4727 1900544
2 123 4010 5299 1900544
39 66 4009 4524 2039808
36 55 4009 4358 1900544
5 186 4001 6532 1900544
29 171 4000 4207 1900544
32 221 3998 5283 1900544
37 62 3997 4818 1900544
17 110 3989 4593 1900544
30 134 3988 7033 1900544
3 17 3988 5007 1900544
37 101 3987 7027 1900544
36 26 3982 6822 1900544
33 121 3980 5141 1900544
23 128 3979 10833 1900544
30 250 3975 5404 1900544
10 125 3968 10266 1900544
21 156 3965 4863 1900544
36 201 3963 5730 1900544
39 142 3962 4185 2039808
10 113 3960 5599 1900544
39 177 3957 8058 2039808
29 218 3956 4956 1900544
39 134 3956 4395 2039808
20 159 3955 5112 1900544
2 80 3955 4760 1900544
25 182 3954 10377 1900544
28 14 3952 5452 1900544
0 47 3951 7520 1900544
4 15 3950 7047 1900544
9 39 3949 4588 1900544
32 113 3947 4368 1900544
34 196 3946 4291 2039808
4 184 3945 4341 1900544
2 87 3940 4831 1900544
30 89 3938 5125 1900544
3 235 3937 4261 1900544
14 20 3936 4089 1900544
31 167 3931 7162 1900544
13 43 3930 6218 1900544
2 103 3930 5115 1900544
37 92 3928 4423 1900544
33 217 3920 6610 1900544
24 101 3920 5992 1900544
3 188 3916 6141 1900544
22 68 3915 7039 1900544
10 23 3915 4260 1900544
38 190 3911 4376 2039808
32 76 3909 5792 1900544
33 54 3907 4627 1900544
17 87 3904 9055 1900544
39 230 3903 4900 2039808
29 247 3901 6635 1900544
30 116 3900 4880 1900544
33 176 3900 4767 1900544
1 132 3898 5273 1900544
24 151 3896 8465 1900544
5 127 3896 7015 1900544
23 153 3895 5638 1900544
16 10 3894 4134 1900544
1 167 3891 5816 1900544
39 120 3891 4570 2039808
31 166 3889 4911 1900544
2 77 3887 5413 1900544
15 82 3886 4200 1900544
34 161 3885 4553 2039808
34 251 3884 6259 2039808
30 32 3884 4050 1900544
7 29 3883 5873 1900544
36 14 3882 5941 1900544
28 230 3880 5189 1900544
